age	xage	lifeexpboth	nboth	survboth	pcdeath_korea
0	"0-9"	82.3	54827	100000	0
1	"0-9"	81.5	56012	99766	0
2	"0-9"	80.5	57881	99746	0
3	"0-9"	79.5	60522	99731	0
4	"0-9"	78.5	60821	99722	0
5	"0-9"	77.5	61096	99714	0
6	"0-9"	76.5	61392	99708	0
7	"0-9"	75.5	63251	99705	0
8	"0-9"	74.5	63881	99698	0
9	"0-9"	73.5	65675	99698	0
10	"10-19"	72.5	66830	99698	0
11	"10-19"	71.5	65911	99690	0
12	"10-19"	70.5	64306	99687	0
13	"10-19"	69.5	64640	99677	0
14	"10-19"	68.6	63082	99667	0
15	"10-19"	67.6	63408	99663	0
16	"10-19"	66.6	63022	99652	0
17	"10-19"	65.6	62051	99642	0
18	"10-19"	64.6	63557	99629	0
19	"10-19"	63.6	66584	99593	0
20	"20-29"	62.6	66813	99557	0
21	"20-29"	61.6	66164	99530	0
22	"20-29"	60.7	67817	99493	0
23	"20-29"	59.7	69949	99449	0
24	"20-29"	58.7	70086	99412	0
25	"20-29"	57.7	70853	99369	0
26	"20-29"	56.8	72055	99323	0
27	"20-29"	55.8	74333	99280	0
28	"20-29"	54.8	76034	99223	0
29	"20-29"	53.8	77648	99177	0
30	"30-39"	52.9	77154	99131	.0011
31	"30-39"	51.9	76654	99088	.0011
32	"30-39"	50.9	74060	99040	.0011
33	"30-39"	49.9	73772	98985	.0011
34	"30-39"	49	72584	98926	.0011
35	"30-39"	48	71786	98879	.0011
36	"30-39"	47	71437	98822	.0011
37	"30-39"	46	71816	98762	.0011
38	"30-39"	45.1	70166	98705	.0011
39	"30-39"	44.1	71118	98642	.0011
40	"40-49"	43.1	70031	98587	.0008
41	"40-49"	42.2	69500	98488	.0008
42	"40-49"	41.2	67668	98398	.0008
43	"40-49"	40.2	69281	98323	.0008
44	"40-49"	39.3	71035	98235	.0008
45	"40-49"	38.3	73922	98121	.0008
46	"40-49"	37.4	74049	98007	.0008
47	"40-49"	36.4	76421	97871	.0008
48	"40-49"	35.5	76355	97735	.0008
49	"40-49"	34.5	75401	97599	.0008
50	"50-59"	33.6	76841	97411	.0042
51	"50-59"	32.7	75951	97222	.0042
52	"50-59"	31.7	73838	97003	.0042
53	"50-59"	30.8	73303	96791	.0042
54	"50-59"	29.9	71998	96503	.0042
55	"50-59"	29	70593	96211	.0042
56	"50-59"	28.1	67565	95865	.0042
57	"50-59"	27.2	65729	95495	.0042
58	"50-59"	26.3	64470	95127	.0042
59	"50-59"	25.4	63542	94718	.0042
60	"60-69"	24.5	63305	94255	.0155
61	"60-69"	23.6	62531	93753	.0155
62	"60-69"	22.8	60841	93151	.0155
63	"60-69"	21.9	61215	92531	.0155
64	"60-69"	21.1	59331	91910	.0155
65	"60-69"	20.2	57742	91191	.0155
66	"60-69"	19.4	56654	90469	.0155
67	"60-69"	18.6	55422	89635	.0155
68	"60-69"	17.8	52505	88744	.0155
69	"60-69"	17	52949	87667	.0155
70	"70-79"	16.2	52574	86493	.0616
71	"70-79"	15.4	52640	85235	.0616
72	"70-79"	14.7	53029	83811	.0616
73	"70-79"	13.9	54001	82360	.0616
74	"70-79"	13.2	47208	80812	.0616
75	"70-79"	12.5	44441	79014	.0616
76	"70-79"	11.8	38551	77112	.0616
77	"70-79"	11.1	34707	75043	.0616
78	"70-79"	10.4	29351	72698	.0616
79	"70-79"	9.8	29332	70219	.0616
80	"80+"	9.1	27279	67497	.103
81	"80+"	8.6	25071	64469	.103
82	"80+"	8	22635	61243	.103
83	"80+"	7.4	20484	57716	.103
84	"80+"	6.9	18246	53962	.103
85	"80+"	6.4	16809	50215	.103
86	"80+"	5.9	15398	46036	.103
87	"80+"	5.5	14780	41834	.103
88	"80+"	5.1	13080	37595	.103
89	"80+"	4.6	11698	33224	.103
90	"80+"	4.3	9587	28803	.103
91	"80+"	4	8160	24388	.103
92	"80+"	3.7	6697	20269	.103
93	"80+"	3.4	5637	16464	.103
94	"80+"	3.2	4369	12989	.103
95	"80+"	2.9	3435	10168	.103
96	"80+"	2.7	2435	7660	.103
97	"80+"	2.5	1733	5587	.103
98	"80+"	2.4	1209	3908	.103
99	"80+"	2.3	849	2665	.103
100	"80+"	2.2	445	1798	.103
101	"80+"	2	270	1179	.103
102	"80+"	1.9	183	767	.103
103	"80+"	1.7	85	470	.103
104	"80+"	1.4	63	302	.103
105	"80+"	1.1	73	158	.103
106	"80+"	.5	0	103	.103
